date,total_cases,total_deaths,day
2020-01-21,1,0,1
2020-01-22,1,0,2
2020-01-23,1,0,3
2020-01-24,1,0,4
2020-01-25,2,0,5
2020-01-26,2,0,6
2020-01-27,5,0,7
2020-01-28,5,0,8
2020-01-29,5,0,9
2020-01-30,5,0,10
2020-01-31,6,0,11
2020-02-01,7,0,12
2020-02-02,8,0,13
2020-02-03,11,0,14
2020-02-04,11,0,15
2020-02-05,11,0,16
2020-02-06,12,0,17
2020-02-07,12,0,18
2020-02-08,12,0,19
2020-02-09,12,0,20
2020-02-10,12,0,21
2020-02-11,13,0,22
2020-02-12,13,0,23
2020-02-13,14,0,24
2020-02-14,15,0,25
2020-02-15,15,0,26
2020-02-16,15,0,27
2020-02-17,15,0,28
2020-02-18,15,0,29
2020-02-19,15,0,30
2020-02-20,15,0,31
2020-02-21,16,0,32
2020-02-22,35,0,33
2020-02-23,35,0,34
2020-02-24,35,0,35
2020-02-25,53,0,36
2020-02-26,53,0,37
2020-02-27,59,0,38
2020-02-28,60,0,39
2020-02-29,66,0,40
2020-03-01,69,1,41
2020-03-02,89,2,42
2020-03-03,103,6,43
2020-03-04,125,9,44
2020-03-05,159,11,45
2020-03-06,233,12,46
2020-03-07,338,14,47
2020-03-08,433,17,48
2020-03-09,554,21,49
2020-03-10,754,26,50
2020-03-11,1025,28,51
2020-03-12,1312,30,52
2020-03-13,1663,40,53
2020-03-14,2174,47,54
2020-03-15,2951,57,55
2020-03-16,3774,69,56
2020-03-17,4661,85,57
2020-03-18,6427,108,58
2020-03-19,9415,150,59
2020-03-20,14250,150,60
2020-03-21,19624,260,61
2020-03-22,26747,340,62
2020-03-23,35206,471,63
2020-03-24,46442,590,64
2020-03-25,55231,801,65
2020-03-26,69194,1050,66
2020-03-27,85991,1296,67
2020-03-28,104686,1707,68
2020-03-29,124665,2191,69
2020-03-30,143025,2509,70
2020-03-31,164620,3170,71
2020-04-01,189618,4079,72
2020-04-02,216721,5138,73
2020-04-03,245540,6053,74
2020-04-04,277965,7157,75
2020-04-05,312237,8501,76
2020-04-06,337635,9647,77
2020-04-07,368196,10989,78
2020-04-08,398809,12895,79
2020-04-09,432132,14817,80
2020-04-10,466033,16690,81
2020-04-11,501560,18777,82
2020-04-12,529951,20608,83
2020-04-13,557571,22108,84
2020-04-14,582594,23649,85
2020-04-15,609516,26057,86
2020-04-16,639664,30985,87
2020-04-17,671331,33284,88
2020-04-18,702164,37054,89
2020-04-19,735086,38910,90
2020-04-20,759687,40682,91
2020-04-21,787752,42539,92
2020-04-22,825041,45063,93
2020-04-23,842629,46784,94
2020-04-24,869172,49963,95
2020-04-25,890524,51017,96
2020-04-26,939053,53189,97