Month,Arrivals,Year,Time
1,1259378,2003.042,1/1/00
2,1239906,2003.123,2/1/03
3,1247049,2003.204,3/1/03
4,1268054,2003.288,4/1/03
5,1367854,2003.371,5/1/03
6,1414428,2003.455,6/1/03
7,1775897,2003.538,7/1/03
8,1831482,2003.623,8/1/03
9,1694798,2003.707,9/1/03
10,1684173,2003.79,10/1/03
11,1524376,2003.874,11/1/03
12,1718818,2003.958,12/1/03
13,1318071,2004.042,1/1/04
14,1378393,2004.123,2/1/04
15,1576072,2004.204,3/1/04
16,1690321,2004.288,4/1/04
17,1700588,2004.371,5/1/04
18,1756533,2004.455,6/1/04
19,2056954,2004.538,7/1/04
20,1969876,2004.623,8/1/04
21,1790264,2004.707,9/1/04
22,1745540,2004.79,10/1/04
23,1556348,2004.874,11/1/04
24,1783297,2004.958,12/1/04
25,1421543,2005.042,1/1/05
26,1447900,2005.123,2/1/05
27,1809585,2005.204,3/1/05
28,1724361,2005.288,4/1/05
29,1815562,2005.371,5/1/05
30,1893062,2005.455,6/1/05
31,2216786,2005.538,7/1/05
32,2045389,2005.623,8/1/05
33,1942971,2005.707,9/1/05
34,1870696,2005.79,10/1/05
35,1591261,2005.874,11/1/05
36,1899412,2005.958,12/1/05
37,1504459,2006.042,1/1/06
38,1376271,2006.123,2/1/06
39,1639161,2006.204,3/1/06
40,1895999,2006.288,4/1/06
41,1752524,2006.371,5/1/06
42,1807400,2006.455,6/1/06
43,2188146,2006.538,7/1/06
44,2072655,2006.623,8/1/06
45,1915993,2006.707,9/1/06
46,1900634,2006.79,10/1/06
47,1687972,2006.874,11/1/06
48,1927076,2006.958,12/1/06
49,1530596,2007.042,1/1/07
50,1498808,2007.123,2/1/07
51,1864009,2007.204,3/1/07
52,1895069,2007.288,4/1/07
53,1943625,2007.371,5/1/07
54,2021723,2007.455,6/1/07
55,2403643,2007.538,7/1/07
56,2402926,2007.623,8/1/07
57,2127059,2007.707,9/1/07
58,2160422,2007.79,10/1/07
59,1864426,2007.874,11/1/07
60,2179971,2007.958,12/1/07
61,1667306,2008.042,1/1/08
62,1663065,2008.123,2/1/08
63,2054590,2008.204,3/1/08
64,2043120,2008.288,4/1/08
65,2212729,2008.371,5/1/08
66,2202405,2008.455,6/1/08
67,2636697,2008.538,7/1/08
68,2601265,2008.623,8/1/08
69,2224572,2008.707,9/1/08
70,2173125,2008.79,10/1/08
71,1757800,2008.874,11/1/08
72,2104777,2008.958,12/1/08
73,1539857,2009.042,1/1/09
74,1477601,2009.123,2/1/09
75,1670120,2009.204,3/1/09
76,2053246,2009.288,4/1/09
77,1911411,2009.371,5/1/09
78,1965630,2009.455,6/1/09
79,2446500,2009.538,7/1/09
80,2438329,2009.623,8/1/09
81,2139208,2009.707,9/1/09
82,2201623,2009.79,10/1/09
83,1738986,2009.874,11/1/09
84,2173673,2009.958,12/1/09
85,1667830,2010.042,1/1/10
86,1620897,2010.123,2/1/10
87,2033811,2010.204,3/1/10
88,1914155,2010.288,4/1/10
89,2232171,2010.371,5/1/10
90,2300022,2010.455,6/1/10
91,2819980,2010.538,7/1/10
92,2690559,2010.623,8/1/10
93,2431989,2010.707,9/1/10
94,2455718,2010.79,10/1/10
95,1927225,2010.874,11/1/10
96,2268259,2010.958,12/1/10
97,1893399,2011.042,1/1/11
98,1708976,2011.123,2/1/11
99,1957736,2011.204,3/1/11
100,2412421,2011.288,4/1/11
101,2330641,2011.371,5/1/11
102,2519947,2011.455,6/1/11
103,3048952,2011.538,7/1/11
104,2970543,2011.623,8/1/11
105,2638705,2011.707,9/1/11
106,2606785,2011.79,10/1/11
107,2062087,2011.874,11/1/11
108,2389439,2011.958,12/1/11
109,2011301,2012.042,1/1/12
110,1849173,2012.123,2/1/12
111,2316220,2012.204,3/1/12
112,2418896,2012.288,4/1/12
113,2515891,2012.371,5/1/12
114,2675686,2012.455,6/1/12
115,2848099,2012.538,7/1/12
116,3174510,2012.623,8/1/12
117,2816039,2012.707,9/1/12
118,2637693,2012.79,10/1/12
119,2209009,2012.874,11/1/12
120,2598391,2012.958,12/1/12
121,2233045,2013.042,1/1/13
122,2067352,2013.123,2/1/13
123,2679385,2013.204,3/1/13
124,2541707,2013.288,4/1/13
125,2835386,2013.371,5/1/13
126,2952528,2013.455,6/1/13
127,3392312,2013.538,7/1/13
128,3545665,2013.623,8/1/13
129,3042320,2013.707,9/1/13
130,2979653,2013.79,10/1/13
131,2465358,2013.874,11/1/13
132,2953966,2013.958,12/1/13
133,2425462,2014.042,1/1/14
134,2070108,2014.123,2/1/14
135,2497766,2014.204,3/1/14
136,3023109,2014.288,4/1/14
137,3027394,2014.371,5/1/14
138,3036429,2014.455,6/1/14
139,3615706,2014.538,7/1/14
140,3766293,2014.623,8/1/14
141,3186470,2014.707,9/1/14
142,3119806,2014.79,10/1/14
143,2533736,2014.874,11/1/14
144,2993563,2014.958,12/1/14
145,2493814,2015.042,1/1/15
146,2287648,2015.123,2/1/15
147,2841083,2015.204,3/1/15
148,3063704,2015.288,4/1/15
149,3481788,2015.371,5/1/15
150,3324186,2015.455,6/1/15
151,4107731,2015.538,7/1/15
152,3992804,2015.623,8/1/15
153,3577291,2015.707,9/1/15
154,3520628,2015.79,10/1/15
155,2842308,2015.874,11/1/15
156,3167165,2015.958,12/1/15
157,2680371,2016.042,1/1/16
158,2420004,2016.123,2/1/16
159,2923031,2016.204,3/1/16
160,2916710,2016.288,4/1/16
161,3235378,2016.371,5/1/16
162,3315489,2016.455,6/1/16
163,3966911,2016.538,7/1/16
164,3891504,2016.623,8/1/16
165,3512358,2016.707,9/1/16
166,3433693,2016.79,10/1/16
167,2704372,2016.874,11/1/16
168,3129583,2016.958,12/1/16
169,2809419,2017.042,1/1/17
170,2386406,2017.123,2/1/17
171,2764000,2017.204,3/1/17
172,3315526,2017.288,4/1/17
173,3267355,2017.371,5/1/17
174,3400431,2017.455,6/1/17
175,3952772,2017.538,7/1/17
176,4027400,2017.623,8/1/17
177,3392091,2017.707,9/1/17
178,3426969,2017.79,10/1/17
179,2802071,2017.874,11/1/17
180,3361084,2017.958,12/1/17
181,2790635,2018.042,1/1/18
182,2541786,2018.123,2/1/18
183,3128296,2018.204,3/1/18
184,3240408,2018.288,4/1/18
185,3455401,2018.371,5/1/18
186,3485352,2018.455,6/1/18
187,4001846,2018.538,7/1/18
188,4030653,2018.623,8/1/18
189,3503491,2018.707,9/1/18
190,3473302,2018.79,10/1/18
191,2861624,2018.874,11/1/18
192,3370567,2018.958,12/1/18
193,2894024,2019.042,1/1/19
194,2601702,2019.123,2/1/19
195,2885701,2019.204,3/1/19
196,3557912,2019.288,4/1/19
197,3518224,2019.371,5/1/19
198,3484444,2019.455,6/1/19
199,4000886,2019.538,7/1/19
200,4062448,2019.623,8/1/19
201,3484495,2019.707,9/1/19
202,3512526,2019.79,10/1/19
203,2903408,2019.874,11/1/19
204,3487576,2019.958,12/1/19
205,2854917,2020.042,1/1/20
206,2430615,2020.123,2/1/20
207,869768,2020.204,3/1/20